제목,링크,출처,날짜,설명
Poseidon Nickel signs Windarra Gold Tailings binding HoA with Green Gold Projects,https://mining.com.au/poseidon-nickel-signs-windarra-gold-tailings-binding-hoa-with-green-gold-projects/,2022. 9. 6.,날짜 없음,"Poseidon Nickel (ASX:POS) has marked a significant milestone in its strategy to monetise the Windarra Gold Tailings Project, securing a binding heads of..."
"Palladium One Mining Discovers New Zone with Massive Nickel-Copper Sulphides at the Tyko Project, Ontario, Canada",https://www.juniorminingnetwork.com/junior-miner-news/press-releases/1909-tsx-venture/gt/127429-palladium-one-discovers-new-zone-with-massive-nickel-copper-sulphides-at-the-tyko-project-ontario-canada.html,2022. 9. 7.,날짜 없음,Highlights. New high-grade nickel sulphide zone discovered! A twenty-kilometer Nickel District has been identified. Newly identified Feeder Dykes...
Will an EV-Filled World Pass the Sulfuric-Acid Test?,https://spectrum.ieee.org/sulfuric-acid-shortage,2022. 9. 4.,날짜 없음,"Look at the periodic table, and think of the elements needed for a prosperous planet powered by renewable energy. Sulfur likely won't be the first to come..."
Author Barbara Ehrenreich dies at 81; self-described ‘myth buster’ wrote ‘Nickel and Dimed’,https://www.dailybulletin.com/2022/09/02/author-barbara-ehrenreich-dies-at-81-self-described-myth-buster-wrote-nickel-and-dimed/,2022. 9. 5.,날짜 없음,"Associated Press. NEW YORK — Barbara Ehrenreich, the author, activist and self-described “myth buster” who in such notable works as “Nickel and Dimed” and..."
"Vale Indonesia signs $2 billion nickel project deal with Shandong Xinhai, Baowu",https://www.reuters.com/article/markets/currencies/vale-indonesia-signs-2-billion-nickel-project-deal-with-shandong-xinhai-baowu-idUSKBN2Q70OJ/,2022. 9. 6.,날짜 없음,Nickel miner PT Vale Indonesia on Tuesday signed an investment deal with China's Shandong Xinhai Technology Co. Ltd and a unit of China Baowu Steel Group...
1976-D Lincoln Memorial Cent : A Collector’s Guide,https://coinweek.com/1976-d-lincoln-memorial-cent-history-and-value-coinweek/,2022. 9. 6.,날짜 없음,"The value of a certified 1976-D Lincoln cent in MS66RD is $40. The value of a raw uncirculated 1976-D, regardless of the grade the owner attaches to the coin..."
Supply Chain Disruptions in the Energy Industry: Challenges with the Supply of Lithium-ion Batteries,https://www.foley.com/insights/publications/2022/09/supply-chain-disruptions-energy-lithium-ion/,2022. 9. 1.,날짜 없음,"As part of our ongoing Supply Chain Disruption Series, we examine the critical role of lithium-ion batteries supply in modern electric vehicles."
Annual report 2022,https://www.bhp.com/investors/annual-reporting/annual-report-2022,2022. 9. 5.,날짜 없음,"BHP delivered strong financial results in FY2022 against a backdrop of increasing economic volatility, inflationary impacts and supply chain pressures."
"EXCLUSIVE EU, U.S. step up Russian aluminium, nickel imports since Ukraine war",https://www.reuters.com/markets/europe/exclusive-eu-us-step-up-russian-aluminium-nickel-imports-since-ukraine-war-2022-09-06/,2022. 9. 7.,날짜 없음,"The European Union and United States have ramped up buying key industrial metals from Russia, data showed, despite logistical problems spurred by the war in..."
Chalice Mining identifies potential 1.6km extension of Gonneville deposit within Julimar Project,https://mining.com.au/chalice-mining-identifies-potential-1-6km-extension-of-gonneville-deposit-within-julimar-project/,2022. 9. 6.,날짜 없음,Chalice Mining (ASX:CHN) reports that a 2D seismic survey has indicated the Gonneville Intrusion could extend down plunge to the north-west for 1.6km and...
These $100 and Up Bathroom Renovation Ideas Will Increase the Value of Your House,https://www.architecturaldigest.com/story/bathroom-renovation-ideas-boost-value-of-your-house,2022. 9. 1.,날짜 없음,Bathroom remodeling hacks—from new cabinet fixtures to a shiny showerhead to an updated vanity—can boost your home's resale value and bring in buyers.
Commodities,https://www.thebalancemoney.com/commodities-4074037,2022. 9. 9.,날짜 없음,"Metals, fossil fuels and grains– commodities in everyday use can also be in your portfolio. Learn about different commodities, their risks and strategies to..."
"Most valuable Jefferson nickels revealed – do you have a coin worth up to $5,200?...",https://www.the-sun.com/money/4704282/valuable-rarest-jefferson-nickels-error-grade/,2022. 9. 7.,날짜 없음,"The most valuable coin on this list goes to the 1951 Jefferson nickel, which features an S mark in an uncirculated grade."
Benchmark Mineral Intelligence Calculated How Many More Mines We'll Need for EVs: 359,https://www.autoevolution.com/news/benchmark-mineral-intelligence-calculated-how-many-more-mines-we-ll-need-for-evs-359-198133.html,2022. 9. 8.,날짜 없음,"By 2035, we'll need at least 74 more lithium mines, 62 for cobalt, 72 for nickel, 97 for natural graphite, and 54 for synthetic graphite."
"2004 Quarters Are Worth $2000, And One Could Be In Your Pocket Right Now",https://elvisduran.iheart.com/content/2022-09-07-2004-quarters-are-worth-2000-and-one-could-be-in-your-pocket-right-now/,2022. 9. 7.,날짜 없음,"Most coins aren't worth much: a penny is just one cent, a nickel five and a dime ten, but sometimes, they are worth more than face value, and that's the..."
C.J. Gardner-Johnson: 5 things to know about the Eagles’ new safety,https://www.bleedinggreennation.com/2022/9/2/23332731/cj-gardner-johnson-trade-eagles-saints-philadelphia-safety-position-highlights-scouting-report-slot,2022. 9. 2.,날짜 없음,CJ Gardner-Johnson quickly endeared himself with Saints fans for high-energy play from the slot/nickel corner position and ultra-high confidence.
"Barbara Ehrenreich dead at 81 - Social justice author of books including Nickel and Dimed passes away, son confirms",https://www.the-sun.com/news/6136279/social-justice-author-barbara-ehrenreich-dead/,2022. 9. 2.,날짜 없음,"BARBARA Ehrenreich, a social justice author and writer of the undercover journalism book Nickel and Dimed, has died at 81.Ehrenreich died on Thursday."
Most expensive coins in the world,https://dailytimes.com.pk/993734/most-expensive-coins-in-the-world/,2022. 9. 7.,날짜 없음,Most expensive coins in the world. With the trend of coins selling at auction events and people making a fortune out of them.
"Stainless Steel MMI: Nickel Prices Move Sideways, Begin to Climb in September",https://agmetalminer.com/2022/09/16/stainless-steel-mmi-nickel-prices-move-sideways-begin-to-climb-in-september/,2022. 9. 16.,날짜 없음,"As nickel prices attempt a rebound, concerns mount over huge stainless steel inventories at manufacturers around the world."
10 ways to help build a thriving battery recycling industry in Europe,https://www.ey.com/en_kr/insights/strategy/10-ways-to-help-build-a-thriving-battery-recycling-industry-in-europe,2022. 9. 9.,날짜 없음,The net-zero imperative and electric vehicle (EV) adoption will soon drive recycling reinvention strategies to secure sustainable battery supply in Europe.
LME faces new legal action over decision to cancel nickel trades,https://www.ft.com/content/a84b3263-8cc2-41a3-bd0e-8ebe78319b3c,2022. 9. 16.,날짜 없음,Hedge fund AQR and trading firm DRW Commodities among those seeking more information.
"Overcoming material, components shortages through EV design",https://electronics360.globalspec.com/article/18626/overcoming-material-components-shortages-through-ev-design,2022. 9. 14.,날짜 없음,Threats to the supply chain could put the electric vehicle (EV) revolution on hiatus - unless engineers start to adopt new design strategies to make better...
The next nickel players in Australia,https://www.australianresourcesandinvestment.com.au/2022/09/16/the-next-nickel-players-in-australia/,2022. 9. 16.,날짜 없음,Demand projections mean more nickel projects in Australia will need to come online. We highlight four operations that can support the cause.
Brute force: could Russian mining mergers counter Western sanctions?,https://www.mining-technology.com/features/russian-gold-nickel-western-mining-sanctions-ukraine/,2022. 9. 16.,날짜 없음,"In response to Western sanctions, Russian miners have looked towards merging to create companies strong enough to resist economic penalties."
Chinese investors plan $2.83 billion metals park in Zimbabwe,https://www.mining.com/web/chinese-investors-plan-2-83-billion-metals-park-in-zimbabwe/,2022. 9. 16.,날짜 없음,"Battery-metals park that will process metals including lithium, platinum, and nickel, its latest plan to revive its moribund economy."
1943-S Jefferson Nickel : A Collector’s Guide,https://coinweek.com/united-states-1943-s-jefferson-nickel/,2022. 9. 14.,날짜 없음,The 1943-S Jefferson nickel is five-cent coin struck at San Francisco using the silver billon composition laid out in the 2nd War Powers Act.
"Battery startup ONE aims to slash cell cost, deliver 600-mile range",https://www.reuters.com/business/autos-transportation/battery-startup-one-aims-slash-cell-cost-deliver-600-mile-range-2022-09-13/,2022. 9. 13.,날짜 없음,Michigan-based startup Our Next Energy has unveiled a new anode-free battery pack designed to slash cell cost as much as 50% while delivering up to 600...
"We need ‘+330 mines in 12 years’ to feed battery demand. These ASX graphite, lithium, nickel a ...",https://stockhead.com.au/resources/we-need-330-mines-in-12-years-to-feed-battery-demand-these-asx-graphite-lithium-nickel-and-cobalt-stocks-can-answer-the-call/,2022. 9. 13.,날짜 없음,"At least 384 new graphite, lithium, nickel, and cobalt mines are needed in the next 12 years, which drops to an almost-as-unwieldy 336 if recycling of raw..."
Boutique experience: Hotel Nickel Plate to be first of its kind in Fishers,https://www.youarecurrent.com/2022/09/13/boutique-experience-subhead-hotel-nickel-plate-to-be-first-of-its-kind-in-fishers/,2022. 9. 13.,날짜 없음,"In the heart of downtown Fishers, a project that has been five years in the making broke ground Sept. 2 at 8651 E 116th St. between the Nickel Plate Trail..."
Mining company hunts for precious minerals under Aberdeenshire farms,https://www.thescottishfarmer.co.uk/news/21222892.mining-company-hunts-precious-minerals-aberdeenshire-farms/,2022. 9. 9.,날짜 없음,"A North East mining company is searching for cobalt, nickel and copper under Aberdeenshire farmland. Starting this weekend, Aberdeen Minerals will be flying a..."
How Profit Inflation Made Your Groceries So Damn Expensive,https://www.forbes.com/sites/errolschweizer/2022/09/12/how-profit-inflation-made-your-groceries-so-damn-expensive/,2022. 9. 12.,날짜 없음,"While the Federal Reserve hikes interest rates in a bid to ease inflation, corporate profits across the supply chain are at record levels."
First Principles Thinking – Boiling Problems Down to their Most Fundamental Truths,https://www.energetica-india.net/articles/first-principles-thinking--boiling-problems-down-to-their-most-fundamental-truths,2022. 9. 12.,날짜 없음,"This article is on First Principles Thinking and how it is useful for organizations, especially for startups. This is based on my own personal experience as..."
Indonesia’s electric vehicle batteries dream has a dirty nickel problem,https://www.brookings.edu/articles/indonesias-electric-vehicle-batteries-dream-has-a-dirty-nickel-problem/,2022. 9. 21.,날짜 없음,"Rodrigo Castillo, Lilly Blumenthal, and Caitlin Purdy unpack the environmental risks and recent developments in Indonesia's nickel industry that illustrate..."
EnerVenue secures 250 MWh order for nickel-hydrogen batteries,https://www.pv-magazine.com/2022/09/23/enervenue-secures-250-mwh-order-for-nickel-hydrogen-batteries/,2022. 9. 23.,날짜 없음,EnerVenue has agreed to supply batteries to Green Energy Renewable Solutions for use in customized building blocks for maritime applications.
OZ Minerals gives green light to $1.7b copper-nickel mine,https://www.afr.com/companies/mining/oz-minerals-gives-green-light-to-1-7b-copper-nickel-mine-20220923-p5bkf6,2022. 9. 23.,날짜 없음,"OZ Minerals has pressed start on a new $1.7 billion copper-nickel mine in remote Western Australia, in a move that could result in the miner emerging with a..."
3 ways to make energy storage more innovative and sustainable,https://www.weforum.org/stories/2022/09/3-ways-energy-storage-sustainable/,2022. 9. 22.,날짜 없음,New US legislation aims to create a green economy - but that will rely on innovative and sustainable energy storage. Here's how we can make that happen.
Chinese battery material companies remain active despite economic downturn,https://www.whitecase.com/insight-our-thinking/mining-metals-2022-chinese-battery-material-companies-remain-active,2022. 9. 22.,날짜 없음,China is one of the biggest producers of the critical minerals and rare earth elements that are essential to the energy transition—those used in the...
Fitch raises thermal coal price predictions as energy crisis persists,https://www.investmentweek.co.uk/news/4056563/fitch-raises-thermal-coal-price-predictions-energy-crisis-persists,2022. 9. 20.,날짜 없음,"As European gas prices continue to rise, Fitch Ratings has predicted that reliance on coal-powered energy generation will increase over 2022-2025."
"OZ Min taps battery boom with $1.7bn copper, nickel deal",https://www.theaustralian.com.au/business/oz-minerals-1bn-investment-in-west-musgrave-coppernickel-mine/news-story/fe31066cf45bbfb7310d5a0e42e061f3,2022. 9. 23.,날짜 없음,"South Australian copper producer OZ Minerals, which rejected a $8.4bn takeover from BHP, has described its assets as being “very sought after” following a..."
UCI and national lab researchers develop a cobalt-free cathode for lithium-ion batteries,https://news.uci.edu/2022/09/21/uci-and-national-lab-researchers-develop-a-cobalt-free-cathode-for-lithium-ion-batteries/,2022. 9. 21.,날짜 없음,"Researchers at the University of California, Irvine and four national laboratories have devised a way to make lithium-ion battery cathodes without using cobalt."
Indonesia’s unexpected success story,https://www.ft.com/content/f179df5b-1dc7-46f4-88dc-97ddfe1d2fe4,2022. 9. 19.,날짜 없음,The economy is prospering despite the sense of crisis elsewhere but the country's politics could become more unstable.
Australia’s huge new nickel mine will host world’s biggest renewable micro-grid,https://reneweconomy.com.au/huge-new-nickel-mine-aims-for-100-pct-renewables-with-worlds-biggest-renewable-micro-grid/,2022. 9. 24.,날짜 없음,The massive $1.7 billion West Musgrave nickel and copper project – given the green light by Australian mining company Oz Minerals late last week – will be a...
5X21 STRAIGHT KNURL PIVOT PIN ZINC NICKEL PLATING,https://www.globalsources.com/Hardware-pin/STRAIGHT-KNURL-PIVOT-PIN-1194554060p.htm,2022. 9. 23.,날짜 없음,5X21 STRAIGHT KNURL PIVOT PIN ZINC NICKEL PLATING for sale at factory direct price. 5X21 STRAIGHT KNURL PIVOT PIN ZINC NICKEL PLATING US$ 0.0629 50000–149999...
Drilling reveals stellar gold outcomes for Zeb Nickel,https://www.miningreview.com/gold/drilling-reveals-stellar-gold-outcomes-for-zeb-nickel-corp/,2022. 9. 20.,날짜 없음,ZEB Nickel Corp. has announced that the presence of anomalously high gold mineralisation on the Zebediela Project in Limpopo South Africa.
Deep-Sea Mining: Is It Worth the Cost?,https://www.newsweek.com/deep-sea-mining-worth-cost-environment-debate-1745421,2022. 9. 23.,날짜 없음,"The mining involves collecting minerals from the ocean floor for use in battery manufacture, and it can affect deep-sea communities."
The Mint and Note Printing Australia make billions for Australia – but it could be at risk,https://theconversation.com/the-mint-and-note-printing-australia-make-billions-for-australia-but-it-could-be-at-risk-190901,2022. 9. 20.,날짜 없음,"It costs just 20 cents to make a $2 coin, and 32 cents to make a $100 note, but eventually the money making is going to stop."
Put More Nickels In!,https://www.antiquesandthearts.com/put-more-nickels-in/,2022. 9. 20.,날짜 없음,The ultimate Paul Fuller designed Wurlitzer is this extremely rare 1942 wall mounted Remote Speaker with record selector box.
Mizuno JPX923 irons: What you need to know,https://www.golfdigest.com/story/mizuno-jpx923-irons--what-you-need-to-know,2022. 9. 23.,날짜 없음,Mizuno's JPX923 collection represents the company's broadest iron launch ever. It includes five new models that run the gamut from tour-level one-piece...
St George field work expands lithium potential,https://www.businessnews.com.au/article/St-George-field-work-expands-lithium-potential,2022. 9. 20.,날짜 없음,"After further field work, mineral explorer St George Mining believes it has significantly expanded the lithium potential of its Mt Alexander nickel — and..."
"Mizuno JPX 923 Hot Metal, 923 Hot Metal Pro, 923 Hot Metal HL irons",https://golfweek.usatoday.com/story/sports/golf/2022/09/23/mizuno-jpx-923-hot-metal-923-hot-metal-pro-923-hot-metal-hl-irons/76434198007/,2022. 9. 23.,날짜 없음,"Gear: Mizuno JPX 923 Hot Metal, 923 Hot Metal Pro, 923 Hot Metal HL irons Price:"
Dyson Airwrap Multi-Styler review: Your one-stop hair styling solution,https://www.indiatoday.in/technology/reviews/story/dyson-airwrap-multi-styler-review-your-one-stop-hair-styling-solution-2002516-2022-09-20,2022. 9. 20.,날짜 없음,"I have used the Dyson Airwrap Multi-Styler for two weeks. Thoughts? It is expensive. But it is also worth the price if you need tons of features,..."
Disbelief Over 114-Year-Old 'Indian Head' Cent Found in Stack of Coins,https://www.newsweek.com/indian-head-cent-coins-114-year-old-money-1744482,2022. 9. 20.,날짜 없음,The design first appeared on coins in the late 1800s and then underwent a subtle change of appearance.
MGM Resorts Sued for Nickel-and-Diming Gamblers at Slot Ticket Kiosks,https://www.casino.org/vitalvegas/mgm-resorts-sued-for-nickel-and-diming-gamblers-at-slot-ticket-kiosks/,2022. 9. 23.,날짜 없음,"A class action lawsuit has been filed against MGM Resorts, claiming gamblers are being “robbed” because the casino company doesn't give change at its kiosks."
First Tesla 4680 battery teardowns reveal it is not all that revolutionary at the moment,https://www.notebookcheck.net/First-Tesla-4680-battery-teardowns-reveal-it-is-not-all-that-revolutionary-at-the-moment.653519.0.html,2022. 9. 19.,날짜 없음,"Instead of a high-nickel cathode and silicon anode, Tesla's 'revolutionary' 4680 battery uses the same old NCM 811 mix and graphite anode, first teardowns show."
Nickel Price: Could Indonesia Dominate Global Nickel Output?,https://agmetalminer.com/2022/09/30/indonesia-could-impact-nickel-price-direction/,2022. 9. 30.,날짜 없음,Experts anticipate that nickel prices will remain sluggish for the foreseeable future. After the LME's (London Metal Exchange) nickel squeeze and because of...
Indonesia's nickel surge bad news for price and pricing,https://www.reuters.com/markets/commodities/indonesias-nickel-surge-bad-news-price-pricing-2022-09-29/,2022. 9. 30.,날짜 없음,Indonesia's production of nickel is surging as a wave of new capacity powers up to meet growing demand from the electric vehicle (EV) battery sector.
Metal prices rise as LME considers banning Russian supplies,https://www.ft.com/content/e483e368-cee7-45f0-8be2-623ce3764588,2022. 9. 29.,날짜 없음,Aluminium and nickel prices rose sharply on Thursday as traders fretted about supply shortages after the London Metal Exchange announced that it was...
Ero Copper shares rise on nickel discovery near its Caraiba mill in Brazil,https://www.mining.com/ero-copper-shares-rise-on-nickel-discovery-near-its-caraiba-mill-in-brazil/,2022. 9. 29.,날짜 없음,Shares of Ero Copper (TSX: ERO; NYSE: ERO) rose by 9.4% on Thursday morning on the news of its discovery of a regional nickel sulphide system in the Curaçá...
Silkroad Nickel’s privatisation offer turns unconditional,https://www.businesstimes.com.sg/companies-markets/silkroad-nickels-privatisation-offer-turns-unconditional,2022. 9. 26.,날짜 없음,An offer from Silkroad Nickel's STP 0% executive director to privatise the Indonesia-based nickel ore miner has turned unconditional.
Sustainaweekly - Sharp downward price correction in many transition commodities,https://www.abnamro.com/research/en/our-research/sustainaweekly-sharp-downward-price-correction-in-many-transition,2022. 9. 27.,날짜 없음,The ABN AMRO Transition Commodity Price Index (TCP) has fallen by 22%. Many base metal prices as well as the prices of many minor metals declined strongly from...
"EV Battery Cell and Pack Materials Market Size & Statistics, 2030",https://www.gminsights.com/industry-analysis/ev-battery-cell-and-pack-materials-market,2022. 9. 30.,날짜 없음,"EV Battery Cell and Pack Materials Market Size - By Vehicle (BEV, HEV, PHEV, FCEV), By Battery (Lithium-ion, Lead-Acid, Nickel-Metal Hydride, Ultracapacitors,..."
Tragedy inspired Wiley Nickel’s political career. Now he wants to go to Congress.,https://www.newsobserver.com/news/politics-government/article266073021.html,2022. 9. 28.,날짜 없음,The Triangle's battleground district Democrat Wiley Nickel and Republican Bo Hines are vying for voters in a critical midterm race that could be decided by...
Electrolysers for the Hydrogen Revolution,https://www.swp-berlin.org/10.18449/2022C57/,2022. 9. 29.,날짜 없음,Ambitious targets for green hydrogen present an enormous challenge for the European Union (EU) and its young hydrogen economy.
All electric vehicles by 2035 could be impossible without new battery tech,https://venturebeat.com/datadecisionmakers/all-evs-by-2035-not-without-new-battery-tech/,2022. 10. 2.,날짜 없음,There is no technology available that will allow for the mass adoption of electric vehicles (EVs) at a price point that the average consumer can afford.
"Almost 400 new mines needed to meet future EV battery demand, data finds",https://techinformed.com/almost-400-new-mines-needed-to-meet-future-ev-battery-demand-data-finds/,2022. 9. 27.,날짜 없음,"It will need to have built almost 400 new mines by 2035, according to London-based price reporting agency, Benchmark Minerals."
Canada Nickel ties into a major Timmins discovery,https://www.northernontariobusiness.com/industry-news/mining/canada-nickel-ties-into-a-major-timmins-discovery-5884887,2022. 9. 29.,날짜 없음,"Canada Nickel Company claims it's made a major discovery at its Reid Property, north of Timmins, that rivals the size of the company's nearby flagship Crawford..."
"Nickel Plate Trail getting closer to connecting Fishers, Noblesville, Indy",https://www.indystar.com/story/news/local/transportation/2022/09/28/indiana-trails-nickel-plate-trail-construction-indianapolis-fishers-noblesville-hamilton-county-2023/69521536007/,2022. 9. 28.,날짜 없음,"Indianapolis, Fishers and Noblesville will begin working on remaining portions of the 18-mile Nickel Plate Trail, thanks to recent state grants."
Wyloo renames Noront as 'Ring of Fire Metals' and resumes nickel exploration activity in Ontario,https://www.mining.com/wyloo-metals-renames-noront-as-ring-of-fire-metals-and-resumes-activity/,2022. 9. 27.,날짜 없음,"Noront's primary asset is the Eagle's Nest project, which has been billed by Wyloo as the largest high-grade nickel discovery in Canada since the Voisey's..."
"U.S. Lithium Carbonate Price Drops Slightly to $10,401 After Reaching its Maximum in June",https://www.indexbox.io/blog/lithium-carbonate-price-per-ton-july-2022/,2022. 9. 30.,날짜 없음,"In July 2022, the lithium carbonate price per ton amounted to $10401, declining by -6.2% against the previous month."
Kabanga Nickel pays 2.4bn/- tax to govt,https://dailynews.co.tz/kabanga-nickel-pays-2-4bn-royalty-to-govt/,2022. 10. 2.,날짜 없음,Kabanga Nickel Limited has paid a total of 2.4bn/- tax to the government between January and August.
"This new, more sustainable method for recycling lithium-ion batteries could help meet electric vehicle demand",https://news.engineering.utoronto.ca/this-new-more-sustainable-method-for-recycling-lithium-ion-batteries-could-help-meet-electric-vehicle-demand/,2022. 9. 30.,날짜 없음,"A new technique developed by Professor Gisele Azimi (ChemE, MSE) could help meet this challenge by changing the way that such batteries are recycled."
Why EV Manufacturers Are Switching from NMC to LFP Batteries,https://www.engineering.com/why-ev-manufacturers-are-switching-from-nmc-to-lfp-batteries/,2022. 9. 30.,날짜 없음,"(Source: U.S. Department of Energy.) Most of today's electric vehicles (EVs) use lithium-ion batteries whose cathodes include nickel, manganese, and cobalt..."
New 2023 Peugeot e-208 to get updated battery tech,http://www.moveelectric.com/e-cars/new-2023-peugeot-e-208-get-updated-battery-tech,2022. 9. 29.,날짜 없음,French car brand Peugeot will offer its e-208 electric hatchback with an updated powertrain next year with the revised model set to gain in both range and...
Benchmark Mineral Intelligence: Why raw material supply is the big challenge for the lithium ion supply chain,https://stockhead.com.au/resources/benchmark-mineral-intelligence-why-raw-material-supply-is-the-big-challenge-for-the-lithium-ion-supply-chain/,2022. 9. 29.,날짜 없음,Benchmark Mineral Intelligence COO Andrew Miller says volatility in battery metals pricing in 2022 is a warning sign of the challenges to come in meeting...
Mizuno JPX 923 Family Irons,https://calgolfnews.com/mizuno-jpx-923-family-irons/,2022. 9. 27.,날짜 없음,"A new family of irons, the 923s, with a game-improvement model, a super game-improvement model, forgiving design for low to mid handicaps, and two forged..."
Football: 'Not a big leap' to say Chelsea's value will double in 5 years: Raine Group's Joe Ravitch,https://www.straitstimes.com/sport/football/football-not-a-big-leap-to-say-chelseas-value-will-double-in-5-years-raine-groups-joe-ravitch,2022. 9. 27.,날짜 없음,Boss of bank which brokered deal tells what was special about this deal for seller and buyer. Read more at straitstimes.com.
Spotlight: Pumpkinferno returns to Dynamic Earth with new tricks and treats,https://www.sudbury.com/spotlight/pumpkinferno-returns-to-dynamic-earth-with-new-tricks-and-treats-5863620,2022. 9. 28.,날짜 없음,Dynamic Earth has been hosting Halloween since it opened in 2003. It wasn't until 2014 that they transformed what the event looks like and made it a...
New: Ruger Brings Back the Marlin 1895 Guide Gun,https://www.guns.com/news/2022/09/27/ruger-brings-back-the-marlin-1895-guide-gun,2022. 9. 27.,날짜 없음,"Continuing to roll out fine American lever guns under the reborn Marlin banner, Ruger this week announced the new Model 1895 Guide Gun."
How Soaring Commodity Prices are Affecting Developing Countries,https://www.afd.fr/en/actualites/how-soaring-commodity-prices-are-affecting-developing-countries,2022. 10. 6.,날짜 없음,The continuing crises are having a major impact on commodity prices - and they're bad news for the low-carbon transition. The new issue of the “MacroDev...
Cobalt clings on,https://www.pv-magazine.com/magazine-archive/cobalt-clings-on/,2022. 10. 5.,날짜 없음,"Cobalt is key for boosting energy density and battery life, but it comes with caveats: expensive, scarce, and linked to unethical mining practices."
Nickel Industries’ Hengjaya Nickel Project transitions to nickel matte production,https://mining.com.au/nickel-industries-hengjaya-nickel-project-transitions-to-nickel-matte-production/,2022. 10. 3.,날짜 없음,Nickel Industries (ASX:NIC) reports that its Hengjaya Nickel Project (HNI) within the Indonesia Morowali Industrial Park (IMIP) has started its transition...
Estimating environmental damage from key resources required for EU low-carbon transition,https://environment.ec.europa.eu/news/estimating-environmental-damage-key-resources-required-eu-low-carbon-transition-2022-10-05_en,2022. 10. 5.,날짜 없음,"Transition to a low-carbon economy will create additional demand for many raw materials, production of which will have a range of environmental impacts."
Brazilian battery metals pique investors' in...,https://www.bnamericas.com/en/analysis/brazilian-battery-metals-pique-investors-interest,2022. 10. 6.,날짜 없음,Brazilian mining titan Vale aims to sell a minority stake in its base metal division to boost the unit's value amid the positive nickel and copper outlook...
Not all battery metals are frothy: Nickel is in trouble | Mint,https://www.livemint.com/industry/manufacturing/not-all-battery-metals-are-frothy-nickel-is-in-trouble-11665324349334.html,2022. 10. 9.,날짜 없음,"Nickel prices, which briefly surged following Russia's invasion of Ukraine, look like the next victim of Europe's energy woes and looming recession."
Sulawesi islanders grieve land lost to nickel mine,https://news.mongabay.com/2022/10/sulawesi-islanders-grieve-land-lost-to-nickel-mine/,2022. 10. 6.,날짜 없음,"The Harita Group holds a nickel mining concession covering about 1,000 hectares (2,500 acres) on Wawonii Island. The arrival of the mine has divided the..."
